OrderDate,OrderNumber,IDProduct,IDLocation,OrderLineItem,OrderQuantity,PaymentMethod,IDCustomer
2024-02-26,O029279,193,5,1,2,Credit Card,C08721
2024-01-26,O027643,218,4,1,1,Credit Card,C10126
2024-01-26,O027643,97,4,2,1,Credit Card,C10126
2024-12-15,O044161,173,4,1,1,Credit Card,C15718
2024-03-14,O030114,130,4,1,2,Google Pay,C00226
2024-08-22,O038283,151,5,1,2,Credit Card,C05837
2024-05-06,O032770,185,5,1,4,PayPal,C03676
2024-08-05,O037382,231,1,1,1,Credit Card,C15122
2024-08-05,O037382,67,1,2,1,Credit Card,C15122
2024-10-19,O041256,232,4,1,1,Credit Card,C09544
2024-10-19,O041256,153,4,2,4,Credit Card,C09544
2024-10-11,O040873,212,4,1,2,Credit Card,C15441
2024-10-11,O040873,211,4,2,1,Credit Card,C15441
2024-02-27,O029327,10,6,1,2,PayPal,C12194
2024-06-16,O034867,242,1,1,1,Apple Pay,C02381
2024-07-31,O037142,227,9,1,1,Credit Card,C04935
2024-07-31,O037142,229,9,2,2,Credit Card,C04935
2024-07-11,O036119,113,3,1,1,PayPal,C01974
2024-11-10,O042409,21,9,1,1,Google Pay,C14338
2024-01-28,O027724,136,3,1,1,Apple Pay,C05347
2024-04-05,O031148,163,9,1,1,PayPal,C03073
2024-01-11,O026861,92,4,1,1,Credit Card,C11825
2024-03-13,O030075,166,4,1,1,Google Pay,C01109
2024-09-27,O040120,67,6,1,1,Credit Card,C10293
2024-09-27,O040120,197,6,2,2,Credit Card,C10293
2024-04-13,O031590,249,6,1,2,Credit Card,C09201
2024-07-23,O036727,207,10,1,1,Google Pay,C13847
2024-12-11,O043979,71,6,1,2,Credit Card,C02538
2024-08-22,O038284,236,2,1,1,Credit Card,C09683
2024-08-22,O038284,152,2,2,2,Credit Card,C09683
2024-07-12,O036179,206,6,1,2,Credit Card,C09444
2024-07-21,O036640,66,6,1,1,Credit Card,C02234
2024-07-23,O036728,227,8,1,1,Apple Pay,C15305
2024-04-16,O031755,187,4,1,2,PayPal,C15636
2024-02-18,O028826,112,4,1,2,Credit Card,C10302
2024-02-18,O028826,51,4,2,2,Credit Card,C10302
2024-09-01,O038766,216,5,1,4,Credit Card,C03696
2024-09-01,O038766,80,5,2,1,Credit Card,C03696
2024-01-23,O027495,275,4,1,1,Apple Pay,C10347
2024-01-23,O027495,22,4,2,1,Apple Pay,C10347
2024-01-23,O027495,71,4,3,2,Apple Pay,C10347
2024-10-11,O040874,128,4,1,1,Credit Card,C12115
2024-10-11,O040874,37,4,2,2,Credit Card,C12115
2024-11-21,O042998,133,4,1,2,Google Pay,C02886
2024-03-08,O029833,66,4,1,2,PayPal,C03372
2024-03-08,O029833,158,4,2,2,PayPal,C03372
2024-01-25,O027589,43,6,1,1,Credit Card,C07130
2024-11-19,O042889,209,5,1,2,PayPal,C02200
2024-04-13,O031591,28,5,1,1,Apple Pay,C12577
2024-04-13,O031591,259,5,2,2,Apple Pay,C12577
2024-03-08,O029834,82,4,1,1,PayPal,C02487
2024-11-19,O042890,196,5,1,1,PayPal,C10397
2024-03-16,O030224,73,2,1,1,PayPal,C08099
2024-03-16,O030224,156,2,2,1,PayPal,C08099
2024-01-25,O027590,101,2,1,1,Credit Card,C10931
2024-04-15,O031704,50,2,1,2,Credit Card,C02034
2024-07-27,O036935,261,10,1,2,Credit Card,C03432
2024-07-27,O036935,236,10,2,2,Credit Card,C03432
2024-05-13,O033109,109,9,1,1,Credit Card,C02526
2024-05-05,O032718,152,2,1,2,Credit Card,C13835
2024-02-07,O028236,270,6,1,1,Credit Card,C00132
2024-02-07,O028236,13,6,2,1,Credit Card,C00132
2024-03-10,O029948,212,2,1,6,Apple Pay,C15326
2024-03-10,O029948,244,2,2,1,Apple Pay,C15326
2024-09-11,O039289,96,4,1,1,Credit Card,C11097
2024-09-11,O039289,76,4,2,1,Credit Card,C11097
2024-08-13,O037808,260,4,1,1,Credit Card,C06513
2024-01-08,O026711,216,3,1,2,Google Pay,C06729
2024-11-14,O042617,142,7,1,1,Apple Pay,C05297
2024-11-14,O042617,60,7,2,2,Apple Pay,C05297
2024-02-02,O027964,255,10,1,1,PayPal,C07765
2024-12-24,O044631,196,4,1,1,Google Pay,C08969
2024-12-24,O044631,68,4,2,2,Google Pay,C08969
2024-05-30,O033955,35,6,1,1,PayPal,C15681
2024-05-30,O033955,100,6,2,1,PayPal,C15681
2024-05-30,O033955,209,6,3,1,PayPal,C15681
2024-11-22,O043046,222,3,1,2,PayPal,C04549
2024-07-16,O036365,149,3,1,1,Credit Card,C06646
2024-11-10,O042410,55,4,1,1,Apple Pay,C12947
2024-05-08,O032872,109,6,1,2,Credit Card,C14719
2024-05-08,O032872,242,6,2,2,Credit Card,C14719
2024-03-05,O029661,229,4,1,2,Credit Card,C12129
2024-09-30,O040285,226,5,1,2,Apple Pay,C05208
2024-02-10,O028399,192,4,1,1,Google Pay,C16879
2024-07-09,O036019,119,7,1,2,PayPal,C04349
2024-09-04,O038899,57,1,1,2,Apple Pay,C05299
2024-02-09,O028344,62,7,1,1,Apple Pay,C14102
2024-02-09,O028344,276,7,2,1,Apple Pay,C14102
2024-08-24,O038384,246,6,1,2,Credit Card,C09342
2024-07-03,O035720,13,10,1,1,Credit Card,C17412
2024-07-03,O035720,204,10,2,1,Credit Card,C17412
2024-12-23,O044587,259,6,1,2,Credit Card,C01287
2024-12-21,O044465,214,4,1,1,Credit Card,C08632
2024-01-05,O026575,160,4,1,1,Google Pay,C15245
2024-01-05,O026575,118,4,2,1,Google Pay,C15245
2024-04-04,O031102,43,5,1,1,PayPal,C07486
2024-04-04,O031102,193,5,2,1,PayPal,C07486
2024-08-11,O037695,274,6,1,1,Credit Card,C02654
2024-06-11,O034588,122,2,1,2,Apple Pay,C03469
2024-06-11,O034588,57,2,2,2,Apple Pay,C03469
2024-11-12,O042532,64,4,1,1,Credit Card,C10051
2024-11-12,O042532,75,4,2,2,Credit Card,C10051
2024-02-06,O028183,54,9,1,2,Credit Card,C15733
2024-01-28,O027725,274,8,1,2,Credit Card,C09871
2024-02-04,O028067,209,8,1,1,Credit Card,C04940
2024-02-04,O028067,240,8,2,1,Credit Card,C04940
2024-05-18,O033364,203,4,1,2,PayPal,C11181
2024-08-09,O037587,214,4,1,1,Credit Card,C06370
2024-08-09,O037587,43,4,2,1,Credit Card,C06370
2024-06-24,O035291,226,9,1,1,Credit Card,C02194
2024-09-06,O039004,35,2,1,2,Apple Pay,C12567
2024-03-30,O030931,20,3,1,2,Credit Card,C00620
2024-03-30,O030931,273,3,2,1,Credit Card,C00620
2024-08-08,O037539,267,5,1,1,Google Pay,C12221
2024-01-08,O026712,46,6,1,2,Credit Card,C15646
2024-05-02,O032547,68,4,1,2,PayPal,C14300
2024-04-08,O031310,263,9,1,2,Credit Card,C07749
2024-04-08,O031310,107,9,2,1,Credit Card,C07749
2024-09-23,O039928,162,3,1,2,Google Pay,C17526
2024-09-23,O039928,21,3,2,1,Google Pay,C17526
2024-11-27,O043297,74,3,1,1,PayPal,C16691
2024-11-27,O043297,173,3,2,2,PayPal,C16691
2024-10-18,O041211,123,4,1,2,Credit Card,C15476
2024-12-18,O044313,113,5,1,1,Apple Pay,C00238
2024-12-21,O044466,168,3,1,1,PayPal,C16989
2024-04-05,O031149,213,2,1,1,PayPal,C05494
2024-08-27,O038521,118,8,1,1,Apple Pay,C06613
2024-08-27,O038521,39,8,2,1,Apple Pay,C06613
2024-05-23,O033592,195,6,1,2,PayPal,C09082
2024-02-08,O028285,147,4,1,2,Apple Pay,C02517
2024-02-08,O028285,204,4,2,1,Apple Pay,C02517
2024-11-20,O042943,237,4,1,2,Google Pay,C15892
2024-08-08,O037540,169,6,1,2,Credit Card,C08103
2024-01-10,O026817,214,2,1,2,Credit Card,C07039
2024-12-19,O044372,42,10,1,1,Credit Card,C15113
2024-04-20,O031957,98,6,1,2,Credit Card,C07471
2024-01-02,O026411,222,3,1,2,Google Pay,C13759
2024-02-24,O029173,23,4,1,1,Credit Card,C17749
2024-02-24,O029173,31,4,2,1,Credit Card,C17749
2024-02-24,O029173,15,4,3,1,Credit Card,C17749
2024-07-13,O036217,155,7,1,2,Credit Card,C10530
2024-12-12,O044029,266,4,1,2,Credit Card,C08331
2024-05-03,O032608,151,2,1,2,Credit Card,C10466
2024-05-03,O032608,87,2,2,2,Credit Card,C10466
2024-01-08,O026713,172,4,1,1,Credit Card,C04013
2024-01-08,O026713,205,4,2,2,Credit Card,C04013
2024-05-09,O032912,20,6,1,2,Credit Card,C15741
2024-08-27,O038522,159,3,1,1,PayPal,C14586
2024-08-27,O038522,223,3,2,1,PayPal,C14586
2024-07-16,O036366,65,4,1,2,PayPal,C10916
2024-07-16,O036366,243,4,2,2,PayPal,C10916
2024-01-11,O026862,225,4,1,1,Credit Card,C05879
2024-09-29,O040223,109,9,1,1,PayPal,C02864
2024-05-15,O033212,136,4,1,1,Google Pay,C09530
2024-05-15,O033212,53,4,2,1,Google Pay,C09530
2024-04-07,O031260,103,4,1,2,Credit Card,C06841
2024-04-07,O031260,117,4,2,1,Credit Card,C06841
2024-07-02,O035672,186,8,1,2,PayPal,C17744
2024-12-28,O044756,225,7,1,2,Apple Pay,C03105
2024-12-28,O044756,47,7,2,1,Apple Pay,C03105
2024-10-08,O040718,208,6,1,2,Google Pay,C05535
2024-02-18,O028827,124,4,1,2,Credit Card,C03583
2024-09-12,O039348,210,9,1,1,Apple Pay,C04803
2024-09-12,O039348,63,9,2,2,Apple Pay,C04803
2024-08-04,O037336,275,8,1,2,Credit Card,C15109
2024-08-04,O037336,243,8,2,1,Credit Card,C15109
2024-06-22,O035162,82,2,1,1,Credit Card,C02166
2024-06-22,O035162,222,2,2,2,Credit Card,C02166
2024-08-12,O037753,159,8,1,1,Credit Card,C17886
2024-08-12,O037753,247,8,2,1,Credit Card,C17886
2024-11-18,O042830,82,5,1,1,Credit Card,C10111
2024-01-29,O027774,161,10,1,1,Credit Card,C11341
2024-01-29,O027774,107,10,2,2,Credit Card,C11341
2024-10-23,O041481,275,5,1,2,Apple Pay,C13834
2024-11-29,O043391,46,5,1,1,Credit Card,C13771
2024-04-28,O032389,231,6,1,1,PayPal,C15119
2024-02-23,O029114,50,4,1,1,Credit Card,C12220
2024-06-06,O034321,243,6,1,2,Credit Card,C04001
2024-06-06,O034321,57,6,2,2,Credit Card,C04001
2024-10-28,O041729,272,6,1,1,Credit Card,C01935
2024-04-13,O031592,250,7,1,1,Credit Card,C14072
2024-04-13,O031592,210,7,2,1,Credit Card,C14072
2024-09-05,O038955,244,6,1,1,Apple Pay,C11154
2024-09-05,O038955,149,6,2,1,Apple Pay,C11154
2024-05-21,O033492,186,7,1,1,PayPal,C08429
2024-02-06,O028184,119,5,1,2,Credit Card,C01563
2024-09-09,O039166,61,6,1,1,Credit Card,C09330
2024-05-05,O032719,237,7,1,1,Credit Card,C13188
2024-05-05,O032719,170,7,2,1,Credit Card,C13188
2024-02-13,O028551,246,4,1,1,PayPal,C12217
2024-10-25,O041590,226,5,1,1,Credit Card,C17163
2024-10-16,O041138,222,6,1,10,Google Pay,C08089
2024-10-16,O041138,76,6,2,2,Google Pay,C08089
2024-02-05,O028126,72,3,1,1,Credit Card,C07093
2024-02-10,O028400,90,3,1,2,PayPal,C04549
2024-05-25,O033698,209,4,1,1,Credit Card,C11810
2024-10-09,O040774,173,4,1,2,PayPal,C15303
2024-10-09,O040774,166,4,2,2,PayPal,C15303
2024-03-19,O030379,198,3,1,1,PayPal,C02054
2024-05-31,O034015,241,4,1,1,Credit Card,C06457
2024-06-19,O035007,215,4,1,2,Apple Pay,C14688
2024-09-21,O039825,170,4,1,1,PayPal,C08321
2024-09-21,O039825,62,4,2,1,PayPal,C08321
2024-01-08,O026714,226,2,1,2,Credit Card,C05871
2024-01-08,O026714,76,2,2,2,Credit Card,C05871
2024-09-06,O039005,238,5,1,1,PayPal,C03636
2024-08-20,O038190,158,3,1,2,Credit Card,C08042
2024-07-05,O035817,133,3,1,2,PayPal,C10836
2024-07-05,O035817,18,3,2,1,PayPal,C10836
2024-06-20,O035054,21,5,1,1,Credit Card,C15261
2024-06-20,O035054,91,5,2,1,Credit Card,C15261
2024-07-31,O037143,150,4,1,1,Credit Card,C11360
2024-07-31,O037143,54,4,2,1,Credit Card,C11360
2024-10-26,O041633,57,2,1,1,Credit Card,C15077
2024-10-26,O041633,116,2,2,1,Credit Card,C15077
2024-03-30,O030932,261,10,1,2,PayPal,C16046
2024-01-17,O027169,23,8,1,1,Apple Pay,C06906
2024-01-17,O027169,135,8,2,2,Apple Pay,C06906
2024-06-01,O034057,246,6,1,1,Credit Card,C12220
2024-05-09,O032913,75,6,1,5,Google Pay,C14322
2024-01-02,O026412,171,4,1,4,Apple Pay,C07529
2024-01-02,O026412,80,4,2,1,Apple Pay,C07529
2024-10-28,O041730,120,6,1,1,Credit Card,C14491
2024-10-28,O041730,106,6,2,1,Credit Card,C14491
2024-09-11,O039290,225,5,1,1,Credit Card,C10640
2024-09-11,O039290,126,5,2,2,Credit Card,C10640
2024-08-27,O038523,135,4,1,1,Credit Card,C11374
2024-01-24,O027546,211,5,1,2,Credit Card,C12779
2024-11-21,O042999,54,4,1,2,Apple Pay,C01019
2024-11-21,O042999,215,4,2,1,Apple Pay,C01019
2024-06-18,O034963,78,6,1,1,Credit Card,C17923
2024-03-12,O030028,244,5,1,2,Apple Pay,C03323
2024-03-12,O030028,241,5,2,1,Apple Pay,C03323
2024-08-29,O038609,218,3,1,2,Apple Pay,C01937
2024-04-23,O032106,241,5,1,1,Credit Card,C11316
2024-05-12,O033051,82,3,1,1,PayPal,C09439
2024-05-12,O033051,275,3,2,1,PayPal,C09439
2024-05-10,O032961,44,3,1,1,Credit Card,C11030
2024-07-13,O036218,267,4,1,1,PayPal,C08465
2024-02-04,O028068,230,6,1,1,PayPal,C11443
2024-06-30,O035580,46,4,1,1,Credit Card,C11556
2024-01-16,O027116,192,1,1,1,Google Pay,C12995
2024-01-18,O027220,155,3,1,2,Credit Card,C15375
2024-01-18,O027220,13,3,2,2,Credit Card,C15375
2024-08-23,O038337,225,3,1,1,PayPal,C08740
2024-12-22,O044525,206,7,1,1,Credit Card,C08620
2024-09-12,O039349,69,10,1,1,PayPal,C08590
2024-09-12,O039349,56,10,2,1,PayPal,C08590
2024-01-29,O027775,121,6,1,2,PayPal,C08287
2024-01-18,O027221,45,6,1,1,PayPal,C15937
2024-01-18,O027221,50,6,2,1,PayPal,C15937
2024-01-31,O027871,150,10,1,1,Apple Pay,C09795
2024-01-31,O027871,240,10,2,1,Apple Pay,C09795
2024-02-09,O028345,216,6,1,1,Credit Card,C15283
2024-02-09,O028345,270,6,2,2,Credit Card,C15283
2024-10-23,O041482,135,3,1,1,Credit Card,C02924
2024-09-20,O039774,86,10,1,4,Google Pay,C04507
2024-09-20,O039774,52,10,2,1,Google Pay,C04507
2024-09-20,O039774,223,10,3,1,Google Pay,C04507
2024-01-06,O026618,52,4,1,1,Credit Card,C13110
2024-06-25,O035339,46,9,1,2,PayPal,C14903
2024-03-13,O030076,270,6,1,1,Credit Card,C00222
2024-06-28,O035480,245,3,1,1,Credit Card,C13005
2024-11-29,O043392,71,3,1,2,Apple Pay,C02408
2024-11-29,O043392,265,3,2,4,Apple Pay,C02408
2024-02-23,O029115,199,6,1,2,Credit Card,C06268
2024-02-23,O029115,112,6,2,1,Credit Card,C06268
2024-06-17,O034922,109,3,1,1,Credit Card,C02349
2024-06-17,O034922,240,3,2,2,Credit Card,C02349
2024-05-30,O033956,4,4,1,1,PayPal,C07503
2024-07-17,O036417,68,4,1,1,Credit Card,C03015
2024-07-17,O036417,92,4,2,1,Credit Card,C03015
2024-01-21,O027395,11,8,1,2,Credit Card,C07682
2024-01-21,O027395,45,8,2,1,Credit Card,C07682
2024-04-17,O031801,44,4,1,2,PayPal,C05746
2024-11-30,O043443,259,10,1,1,Credit Card,C05514
2024-09-15,O039508,196,4,1,1,Credit Card,C06207
2024-05-18,O033365,68,6,1,1,Google Pay,C02727
2024-08-10,O037634,168,7,1,1,Apple Pay,C05160
2024-05-31,O034016,121,4,1,1,Credit Card,C01313
2024-12-21,O044467,226,9,1,1,Credit Card,C07683
2024-08-25,O038435,243,7,1,2,Apple Pay,C10505
2024-08-25,O038435,20,7,2,2,Apple Pay,C10505
2024-08-11,O037696,271,4,1,1,Credit Card,C11116
2024-08-11,O037696,37,4,2,1,Credit Card,C11116
2024-05-18,O033366,211,4,1,1,Credit Card,C07278
2024-05-18,O033366,47,4,2,1,Credit Card,C07278
2024-05-17,O033314,81,3,1,2,PayPal,C17292
2024-05-17,O033314,160,3,2,1,PayPal,C17292
2024-05-29,O033902,158,9,1,1,Credit Card,C00917
2024-05-29,O033902,14,9,2,2,Credit Card,C00917
2024-08-20,O038191,71,5,1,2,PayPal,C12187
2024-08-24,O038385,267,9,1,2,Credit Card,C00104
2024-03-25,O030679,230,1,1,1,PayPal,C05159
2024-04-11,O031477,256,8,1,1,PayPal,C14814
2024-03-03,O029558,229,9,1,1,PayPal,C10988
2024-08-19,O038131,167,4,1,1,Credit Card,C14213
2024-10-03,O040442,206,9,1,1,Credit Card,C09227
2024-10-03,O040442,233,9,2,1,Credit Card,C09227
2024-07-15,O036316,263,7,1,2,Credit Card,C01894
2024-06-11,O034589,157,5,1,1,Credit Card,C08249
2024-05-05,O032720,233,3,1,1,Credit Card,C09549
2024-12-01,O043489,196,1,1,2,Google Pay,C15905
2024-12-01,O043489,219,1,2,2,Google Pay,C15905
2024-12-01,O043489,84,1,3,1,Google Pay,C15905
2024-11-14,O042618,232,4,1,2,PayPal,C07321
2024-07-07,O035911,46,4,1,1,PayPal,C14452
2024-07-08,O035969,85,8,1,1,Credit Card,C09479
2024-04-24,O032169,202,6,1,1,PayPal,C10136
2024-10-31,O041877,172,4,1,1,Google Pay,C00045
2024-10-31,O041877,240,4,2,1,Google Pay,C00045
2024-06-07,O034379,203,7,1,1,Google Pay,C15409
2024-10-23,O041483,216,3,1,1,Apple Pay,C17761
2024-01-16,O027117,173,7,1,1,PayPal,C02640
2024-10-07,O040673,65,3,1,1,Credit Card,C11630
2024-10-07,O040673,9,3,2,1,Credit Card,C11630
2024-04-27,O032321,214,6,1,2,Credit Card,C15823
2024-10-03,O040443,110,4,1,2,Google Pay,C09184
2024-10-03,O040443,227,4,2,1,Google Pay,C09184
2024-05-11,O033009,214,4,1,1,Credit Card,C17413
2024-01-25,O027591,70,4,1,1,Google Pay,C11358
2024-11-18,O042831,258,10,1,1,Credit Card,C02449
2024-11-27,O043298,118,4,1,2,Credit Card,C05850
2024-03-21,O030474,41,3,1,2,Credit Card,C14111
2024-03-21,O030474,272,3,2,2,Credit Card,C14111
2024-03-21,O030474,265,3,3,2,Credit Card,C14111
2024-07-13,O036219,218,7,1,2,Apple Pay,C12787
2024-07-13,O036219,206,7,2,2,Apple Pay,C12787
2024-12-03,O043586,141,7,1,1,Credit Card,C09539
2024-02-09,O028346,63,3,1,1,Credit Card,C12338
2024-10-26,O041634,246,4,1,1,Credit Card,C16693
2024-10-26,O041634,129,4,2,1,Credit Card,C16693
2024-10-26,O041634,2,4,3,2,Credit Card,C16693
2024-12-24,O044632,90,6,1,2,Credit Card,C02465
2024-12-24,O044632,240,6,2,2,Credit Card,C02465
2024-04-20,O031958,148,8,1,1,Google Pay,C09067
2024-08-02,O037246,246,4,1,1,Credit Card,C03142
2024-08-18,O038082,192,6,1,1,Apple Pay,C16487
2024-08-18,O038082,138,6,2,1,Apple Pay,C16487
2024-03-22,O030532,265,3,1,1,Apple Pay,C15676
2024-03-22,O030532,26,3,2,1,Apple Pay,C15676
2024-07-28,O036985,198,4,1,2,Google Pay,C05967
2024-10-17,O041179,111,9,1,1,Credit Card,C11543
2024-10-17,O041179,211,9,2,2,Credit Card,C11543
2024-09-22,O039874,167,4,1,1,Credit Card,C03767
2024-11-11,O042471,120,5,1,1,Credit Card,C10383
2024-04-15,O031705,202,2,1,1,Credit Card,C16585
2024-10-18,O041212,246,6,1,2,PayPal,C03155
2024-10-18,O041212,273,6,2,1,PayPal,C03155
2024-04-03,O031074,48,1,1,1,Credit Card,C08522
2024-04-03,O031074,274,1,2,1,Credit Card,C08522
